"Date","Price","Open","High","Low","Vol.","Change %"
"20-11-2015","33,589","33,812","34,162","33,474","21.37K","-0.71%"
"19-11-2015","33,830","33,744","34,178","33,582","19.76K","0.80%"
"18-11-2015","33,562","33,600","33,845","33,400","14.51K","-0.43%"
"17-11-2015","33,707","33,827","33,868","33,475","18.70K","-0.26%"
"16-11-2015","33,796","34,000","34,299","33,773","17.94K","-0.14%"
"13-11-2015","33,845","33,896","34,188","33,753","14.44K","-0.13%"
"12-11-2015","33,889","34,173","34,450","33,751","15.12K","-0.88%"
"11-11-2015","34,190","34,248","34,270","34,160","2.21K","-0.24%"
"10-11-2015","34,272","34,591","34,627","34,034","18.82K","-0.81%"
"09-11-2015","34,552","35,081","35,165","34,500","14.42K","-1.03%"
"06-11-2015","34,910","35,401","35,550","34,870","19.71K","-1.66%"
"05-11-2015","35,500","35,506","35,595","35,272","16.96K","-0.01%"
"04-11-2015","35,504","35,962","35,965","35,478","19.37K","-0.82%"
"03-11-2015","35,799","36,210","36,280","35,765","19.98K","-1.08%"
"02-11-2015","36,191","36,425","36,460","35,951","19.84K","-0.82%"
"30-10-2015","36,490","36,589","36,589","36,343","18.17K","-0.15%"
"29-10-2015","36,544","37,810","37,810","36,466","36.55K","-3.40%"
"28-10-2015","37,832","37,127","37,975","37,095","24.95K","2.07%"
"27-10-2015","37,064","36,900","37,145","36,853","14.47K","0.12%"
"26-10-2015","37,018","36,922","37,175","36,865","14.55K","0.21%"
"23-10-2015","36,942","36,956","37,385","36,662","25.36K","0.06%"
"22-10-2015","36,920","36,825","37,070","36,764","10.37K","0.34%"
"21-10-2015","36,794","37,087","37,105","36,621","17.08K","-0.67%"
"20-10-2015","37,042","36,850","37,190","36,773","21.31K","0.28%"
"19-10-2015","36,938","37,175","37,175","36,727","18.63K","-1.20%"
"16-10-2015","37,387","37,442","37,535","37,135","16.36K","-0.34%"
"15-10-2015","37,513","37,566","37,669","37,068","22.74K","-0.17%"
"14-10-2015","37,575","37,419","37,653","36,953","25.15K","0.81%"
"13-10-2015","37,272","36,834","37,420","36,649","22.44K","0.79%"
"12-10-2015","36,981","36,890","37,419","36,870","21.39K","0.40%"
"09-10-2015","36,833","36,771","37,339","36,700","24.46K","-0.11%"
"08-10-2015","36,875","37,120","37,120","36,150","29.77K","-1.67%"
"07-10-2015","37,501","37,376","37,587","37,043","26.86K","0.45%"
"06-10-2015","37,333","36,658","37,719","36,622","34.59K","1.61%"
"05-10-2015","36,741","34,800","36,855","34,800","47.48K","6.36%"
"01-10-2015","34,544","34,645","34,877","34,404","23.54K","-0.01%"
"30-09-2015","34,547","34,858","34,999","34,427","29.84K","-1.17%"
"29-09-2015","34,955","35,075","35,229","34,705","22.83K","-0.16%"
"28-09-2015","35,011","35,970","36,013","34,815","28.02K","-2.94%"
"25-09-2015","36,072","35,998","36,287","35,775","13.04K","-0.39%"
"24-09-2015","36,215","35,502","36,384","35,375","22.52K","2.16%"
"23-09-2015","35,450","35,279","35,630","35,163","17.16K","0.52%"
"22-09-2015","35,267","36,033","36,148","35,186","25.83K","-2.50%"
"21-09-2015","36,172","36,000","36,247","35,872","14.89K","0.26%"
"18-09-2015","36,077","35,990","36,690","35,855","28.00K","0.40%"
"17-09-2015","35,932","35,612","36,049","35,509","14.24K","0.43%"
"16-09-2015","35,779","34,648","35,850","34,580","27.81K","3.33%"
"15-09-2015","34,625","34,701","34,765","34,451","13.91K","-0.25%"
"14-09-2015","34,713","35,158","35,173","34,630","14.71K","-0.75%"
"11-09-2015","34,975","35,488","35,535","34,551","23.74K","-1.15%"
"10-09-2015","35,383","35,391","35,841","35,321","20.58K","0.25%"
"09-09-2015","35,294","35,800","35,988","35,260","20.06K","-1.03%"
"08-09-2015","35,663","35,176","35,936","35,032","23.57K","1.34%"
"07-09-2015","35,193","35,470","35,538","35,101","9.93K","1.08%"
"04-09-2015","34,816","34,900","35,100","34,600","0.07K","0.16%"
"03-09-2015","34,762","34,685","34,979","34,530","0.17K","0.10%"
"02-09-2015","34,728","34,387","35,019","34,270","0.56K","0.63%"
"01-09-2015","34,511","34,756","34,908","34,368","2.86K","-0.20%"
"31-08-2015","34,581","34,334","34,748","34,235","12.42K","0.59%"
"28-08-2015","34,378","33,666","34,698","33,666","20.70K","0.95%"
"27-08-2015","34,056","33,466","34,450","33,401","27.24K","1.89%"
"26-08-2015","33,423","34,546","34,551","33,151","34.41K","-3.55%"
"25-08-2015","34,652","35,314","35,441","34,471","27.64K","-2.14%"
"24-08-2015","35,410","36,050","36,140","34,930","40.17K","-2.18%"
"21-08-2015","36,200","36,464","36,786","35,682","33.98K","-0.30%"
"20-08-2015","36,310","35,735","36,398","35,735","25.99K","2.20%"
"19-08-2015","35,527","34,779","35,739","34,658","28.22K","2.11%"
"18-08-2015","34,794","35,805","35,840","34,551","30.35K","-2.85%"
"17-08-2015","35,814","35,597","35,930","35,520","15.61K","1.09%"
"14-08-2015","35,429","35,915","36,290","35,360","25.09K","-1.61%"
"13-08-2015","36,007","35,860","36,180","35,685","21.46K","-0.23%"
"12-08-2015","36,091","35,301","36,171","35,252","31.30K","2.15%"
"11-08-2015","35,330","34,999","35,385","34,814","29.51K","0.88%"
"10-08-2015","35,021","33,957","35,190","33,957","29.08K","2.91%"
"07-08-2015","34,031","33,666","34,345","33,571","31.25K","0.96%"
"06-08-2015","33,708","33,457","33,786","33,370","18.01K","0.68%"
"05-08-2015","33,479","33,443","33,675","33,355","17.06K","-0.01%"
"04-08-2015","33,481","33,400","33,638","33,328","17.22K","-0.05%"
"03-08-2015","33,499","33,945","33,974","33,431","18.47K","-1.55%"
"31-07-2015","34,025","33,900","34,450","33,625","29.06K","0.01%"
"30-07-2015","34,020","33,982","34,185","33,750","20.11K","0.13%"
"29-07-2015","33,975","33,859","34,250","33,668","19.76K","0.62%"
"28-07-2015","33,765","33,760","33,839","33,566","16.74K","-0.49%"
"27-07-2015","33,930","33,783","34,145","33,750","20.63K","0.68%"
"24-07-2015","33,702","33,836","33,863","33,310","27.52K","-0.60%"
"23-07-2015","33,904","34,100","34,384","33,855","18.18K","-0.15%"
"22-07-2015","33,955","33,988","34,225","33,663","25.46K","-0.20%"
"21-07-2015","34,022","34,057","34,324","33,882","19.52K","-0.36%"
"20-07-2015","34,145","34,170","34,473","33,430","33.73K","-0.16%"
"17-07-2015","34,200","34,421","34,540","34,121","16.45K","-0.88%"
"16-07-2015","34,504","34,747","34,790","34,256","21.55K","-0.55%"
"15-07-2015","34,696","35,189","35,238","34,561","23.28K","-1.35%"
"14-07-2015","35,172","35,437","35,448","35,080","18.69K","-1.00%"
"13-07-2015","35,527","35,625","35,745","35,241","20.89K","-0.25%"
